,word,frequency,per_million,doc_freq,doc_percentage
831,empress,28,9.813274416,22,0.26550808600000003
832,taraba,28,9.813274416,16,0.19309679
833,staggering,27,9.46280033,24,0.289645185
834,stunning,27,9.46280033,23,0.277576635
835,motivated,27,9.46280033,24,0.289645185
836,beloved,27,9.46280033,26,0.313782283
838,structural,27,9.46280033,25,0.301713734
839,weird,27,9.46280033,24,0.289645185
840,systemic,27,9.46280033,23,0.277576635
841,troubling,27,9.46280033,25,0.301713734
842,bitter,27,9.46280033,26,0.313782283
843,lengthy,27,9.46280033,26,0.313782283
844,revolutionary,27,9.46280033,23,0.277576635
845,mini,27,9.46280033,23,0.277576635
846,sole,27,9.46280033,26,0.313782283
848,volatile,27,9.46280033,26,0.313782283
849,corrupt,27,9.46280033,24,0.289645185
850,visual,27,9.46280033,26,0.313782283
851,seventh,27,9.46280033,26,0.313782283
852,sino,27,9.46280033,21,0.253439537
853,interactive,27,9.46280033,19,0.229302438
854,unemployed,27,9.46280033,26,0.313782283
855,julian,27,9.46280033,8,0.096548395
856,cannabis,27,9.46280033,13,0.15689114199999998
857,sheer,26,9.112326244,25,0.301713734
858,greek,26,9.112326244,15,0.18102824
859,twin,26,9.112326244,22,0.26550808600000003
860,inadequate,26,9.112326244,23,0.277576635
861,semi,26,9.112326244,26,0.313782283
862,vocal,26,9.112326244,25,0.301713734
863,premature,26,9.112326244,24,0.289645185
864,promising,26,9.112326244,25,0.301713734
866,proactive,26,9.112326244,24,0.289645185
867,traumatic,26,9.112326244,23,0.277576635
869,productive,26,9.112326244,21,0.253439537
870,targeted,26,9.112326244,24,0.289645185
871,19th,26,9.112326244,24,0.289645185
872,coordinated,26,9.112326244,25,0.301713734
873,informal,26,9.112326244,24,0.289645185
874,beneficial,26,9.112326244,24,0.289645185
875,gross,26,9.112326244,25,0.301713734
876,inoculation,26,9.112326244,26,0.313782283
877,satisfied,26,9.112326244,26,0.313782283
878,eld,25,8.761852157,23,0.277576635
879,unbelievable,25,8.761852157,23,0.277576635
