,word,frequency,per_million,doc_freq,doc_percentage
4081,synovac,12,4.2056890355584,8.0,0.09654839488293508
4085,puzzle,12,4.2056890355584,12.0,0.1448225923244026
4089,sprint,12,4.2056890355584,11.0,0.13275404296403573
4090,greeting,12,4.2056890355584,12.0,0.1448225923244026
4091,oslo,12,4.2056890355584,9.0,0.10861694424330197
4093,hygiene,12,4.2056890355584,12.0,0.1448225923244026
4094,jeju,12,4.2056890355584,9.0,0.10861694424330197
4095,appliance,12,4.2056890355584,11.0,0.13275404296403573
4096,crude,12,4.2056890355584,11.0,0.13275404296403573
4097,selling,12,4.2056890355584,11.0,0.13275404296403573
4098,xi,12,4.2056890355584,11.0,0.13275404296403573
4101,translation,12,4.2056890355584,8.0,0.09654839488293508
4102,exhaust,12,4.2056890355584,8.0,0.09654839488293508
4103,ndc,12,4.2056890355584,8.0,0.09654839488293508
4106,nest,12,4.2056890355584,8.0,0.09654839488293508
4108,devil,12,4.2056890355584,9.0,0.10861694424330197
4109,astronomer,12,4.2056890355584,6.0,0.0724112961622013
4112,realization,12,4.2056890355584,12.0,0.1448225923244026
4113,hippo,12,4.2056890355584,2.0,0.02413709872073377
4114,ip,12,4.2056890355584,8.0,0.09654839488293508
4117,albertan,12,4.2056890355584,11.0,0.13275404296403573
4121,prank,12,4.2056890355584,4.0,0.04827419744146754
4123,sturgeon,12,4.2056890355584,1.0,0.012068549360366885
4124,wrestling,12,4.2056890355584,6.0,0.0724112961622013
4126,singtel,12,4.2056890355584,4.0,0.04827419744146754
4127,mco,12,4.2056890355584,4.0,0.04827419744146754
4128,nso,12,4.2056890355584,2.0,0.02413709872073377
4129,emo,12,4.2056890355584,9.0,0.10861694424330197
4130,tbc,12,4.2056890355584,12.0,0.1448225923244026
4131,moore,11,3.8552149492618666,9.0,0.10861694424330197
4132,cecilia,11,3.8552149492618666,10.0,0.12068549360366886
4133,alt,11,3.8552149492618666,11.0,0.13275404296403573
4134,hustle,11,3.8552149492618666,11.0,0.13275404296403573
4135,raddatz,11,3.8552149492618666,9.0,0.10861694424330197
4141,plaintiff,11,3.8552149492618666,9.0,0.10861694424330197
4143,destiny,11,3.8552149492618666,11.0,0.13275404296403573
4144,down,11,3.8552149492618666,10.0,0.12068549360366886
4145,optic,11,3.8552149492618666,10.0,0.12068549360366886
4146,stalemate,11,3.8552149492618666,11.0,0.13275404296403573
4147,newcomer,11,3.8552149492618666,10.0,0.12068549360366886
4150,pokemon,11,3.8552149492618666,7.0,0.0844798455225682
4151,avatar,11,3.8552149492618666,7.0,0.0844798455225682
4152,coma,11,3.8552149492618666,10.0,0.12068549360366886
4153,laughter,11,3.8552149492618666,11.0,0.13275404296403573
4157,holme,11,3.8552149492618666,4.0,0.04827419744146754
4158,sneaker,11,3.8552149492618666,7.0,0.0844798455225682
4160,kyle,11,3.8552149492618666,6.0,0.0724112961622013
4161,colombian,11,3.8552149492618666,9.0,0.10861694424330197
4163,horn,11,3.8552149492618666,9.0,0.10861694424330197
4165,disclosure,11,3.8552149492618666,11.0,0.13275404296403573
4167,hop,11,3.8552149492618666,8.0,0.09654839488293508
4169,triangle,11,3.8552149492618666,6.0,0.0724112961622013
4170,chauvin,11,3.8552149492618666,4.0,0.04827419744146754
4171,confinement,11,3.8552149492618666,10.0,0.12068549360366886
4174,frenzy,11,3.8552149492618666,10.0,0.12068549360366886
4175,triumph,11,3.8552149492618666,9.0,0.10861694424330197
4176,op,11,3.8552149492618666,11.0,0.13275404296403573
4177,chunk,11,3.8552149492618666,11.0,0.13275404296403573
4180,goodness,11,3.8552149492618666,10.0,0.12068549360366886
4182,countdown,11,3.8552149492618666,10.0,0.12068549360366886
4183,fume,11,3.8552149492618666,8.0,0.09654839488293508
4184,ladder,11,3.8552149492618666,10.0,0.12068549360366886
4186,metaverse,11,3.8552149492618666,4.0,0.04827419744146754
4190,slew,11,3.8552149492618666,11.0,0.13275404296403573
4191,helmet,11,3.8552149492618666,9.0,0.10861694424330197
4192,fortress,11,3.8552149492618666,7.0,0.0844798455225682
4194,bureaucracy,11,3.8552149492618666,10.0,0.12068549360366886
4196,glimmer,11,3.8552149492618666,11.0,0.13275404296403573
4198,dc,11,3.8552149492618666,9.0,0.10861694424330197
4199,inferno,11,3.8552149492618666,10.0,0.12068549360366886
4200,buy,11,3.8552149492618666,8.0,0.09654839488293508
4202,monie,11,3.8552149492618666,9.0,0.10861694424330197
4204,neo,11,3.8552149492618666,5.0,0.060342746801834414
4205,downfall,11,3.8552149492618666,10.0,0.12068549360366886
4206,belize,11,3.8552149492618666,6.0,0.0724112961622013
4207,karen,11,3.8552149492618666,8.0,0.09654839488293508
4208,interrogation,11,3.8552149492618666,10.0,0.12068549360366886
4212,saeed,11,3.8552149492618666,9.0,0.10861694424330197
4213,dispatch,11,3.8552149492618666,9.0,0.10861694424330197
4214,sail,11,3.8552149492618666,11.0,0.13275404296403573
4215,beam,11,3.8552149492618666,9.0,0.10861694424330197
4218,florence,11,3.8552149492618666,8.0,0.09654839488293508
4219,blog,11,3.8552149492618666,10.0,0.12068549360366886
4222,charger,11,3.8552149492618666,7.0,0.0844798455225682
4223,escort,11,3.8552149492618666,8.0,0.09654839488293508
4224,shepherd,11,3.8552149492618666,8.0,0.09654839488293508
4225,find,11,3.8552149492618666,10.0,0.12068549360366886
4226,venezuela,11,3.8552149492618666,8.0,0.09654839488293508
4227,bjp,11,3.8552149492618666,5.0,0.060342746801834414
4228,nile,11,3.8552149492618666,8.0,0.09654839488293508
4229,adaptation,11,3.8552149492618666,8.0,0.09654839488293508
4233,jailing,11,3.8552149492618666,10.0,0.12068549360366886
4235,contrary,11,3.8552149492618666,11.0,0.13275404296403573
4236,chronovirus,11,3.8552149492618666,11.0,0.13275404296403573
4237,nun,11,3.8552149492618666,8.0,0.09654839488293508
4238,neglect,11,3.8552149492618666,11.0,0.13275404296403573
4239,morale,11,3.8552149492618666,11.0,0.13275404296403573
4240,diploma,11,3.8552149492618666,7.0,0.0844798455225682
4241,peruvian,11,3.8552149492618666,6.0,0.0724112961622013
4243,rhino,11,3.8552149492618666,4.0,0.04827419744146754
4245,academic,11,3.8552149492618666,11.0,0.13275404296403573
4246,glance,11,3.8552149492618666,11.0,0.13275404296403573
4248,hugh,11,3.8552149492618666,8.0,0.09654839488293508
4253,uighur,11,3.8552149492618666,9.0,0.10861694424330197
